Região,Área,Pagamento,Opinião,Renda,Idade
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.23,32
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.01,39
Baependinha,Engenharia e Produção,Incentivos federais,Satisfeito,1.51,32
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.41,37
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,2.79,34
Aratibutantã, ,Bolsas de estudo,Insatisfeito,2.25,34
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.77,40
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.56,40
Baependinha,Administração,Recursos próprios,Satisfeito,1.29,30
Baependinha,Humanidades,Financiamento bancário,Satisfeito,1.43,32
Baependinha,Computação e Matemática,Recursos próprios,Satisfeito,1.82,31
Baependinha,Jurídica e Contábil,Incentivos federais,Indiferente,3.12,36
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.07,29
Itamaracanã,Humanidades,Financi ,Muito satisfeito,1.05,21
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.3,29
Baependinha,Jurídica e Contábil,Recursos próprios,Satisfeito,2.01,38
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,2.37,35
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,3.06,38
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.55,33
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,2.17,31
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.1,41
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.45,25
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.69,33
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.89,35
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.55,36
Itamaracanã,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.17,24
Jaquereçaba,Jurídica e Contábil,Incent ,Insatisfeito,3.7,37
Baependinha,Administração,Recursos próprios,Satisfeito,1.62,29
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.47,28
Jaquereçaba,Jurídica e Contábil,Financiamento bancário,Satisfe ,2.27,30
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,1.96,32
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.04,21
Baependinha,Engenharia e Produção,Incentivos federais,Muito satisfeito,1.7,32
Baependinha,Engenharia e Produção,Incentivos federais,Insatisfeito,4.16,39
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.12,29
Aratibutantã,Engenharia e Produção,Recursos próprios,Satisfeito,1.87,32
Aratibutantã,Engenha ,Auxílio de familiares,Indiferente,2.86,31
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.05,28
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.3,36
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.54,37
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,2.54,35
Jaquereçaba,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,2.37,32
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,14,35
Baependinha,Administração,Recursos próprios,Satisfeito,2.04,34
Baependinha,Engenhar ,Recursos próprios,Satisfeito,3.78,32
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.28,32
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,2.17,31
Baepe ,Engenharia e Produção,Recursos próprios,Indiferente,1.59,30
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,1.92,32
Baependinha,Jurídica e Contábil,Financiamento bancário,Indiferente,2.31,32
Baependinha,Educacional,Financiamento bancário,Satisfeito,1.4,26
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.65,34
Baependinha,Jurídica e Contábil,Recursos próprios,Muito satisfeito,1.78,36
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.6,33
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.51,35
Baependinha,Engenharia e Produção,Bolsas de estudo,Indiferente,1.95,29
Baependinha,Computação e Matemática,Financiamento bancário,Satisfeito,1.26,25
Baepen ,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.54,32
Itamaracanã,Administração,Financiamento bancário,Muito sa ,1.08,29
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.47,25
Baependinha,Engen ,Financiamento bancário,Muito satisfeito,1.54,30
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.51,31
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.16,25
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.86,37
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.43,29
Jaquereçaba,Humanidades,Recursos próprios,Satisfeito,2.27,37
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,2.31,31
Aratibutantã,Engenharia e Produção,Incentivos federais,Satisfeito,1.87,31
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.69,25
Baependinha,Computação e Matemática,Incentivos federais,Satisfeito,1.78,36
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.07,24
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.16,24
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,2.46,36
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.69,27
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,6.15,37
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.13,31
Jaquereçaba,Engenharia e Produção,Recursos próprios,Satisfeito,3.14,26
Baependinha,Jurídica e Contábil,Financiamento bancário,Indiferente,2.17,28
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,1.9,27
Baependinha,Jurídica e Contábil,Incentivos federais,Indiferente,1.69,24
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.51,28
Baependinha,Engenharia e Produção,Auxílio de familiares,Indiferente,1.68,33
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.28,40
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.4,27
Baependinha,Jurídica e Contábil,Incentivos federais,Satisfeito,1.83,34
Baependinha,Engenharia e Produção,Incentivos federais,Insatisfeito,2.05,36
Baependinha,Jurídica e Contábil,Auxílio de familiares,Muito satisfeito,2.03,32
Baependinha,Administração,Auxílio de familiares,Satisfeito,1.38,22
Aratibutantã,Humanidades,Recursos próprios,Indiferente,2.43,28
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.03,23
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.19,25
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.05,24
Baependinha,Jurídica e Contábil,Recursos próprios,Muito satisfeito,1.52,36
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,3.1,40
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,1.96,36
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,2.27,36
Baependinha,Administração,Bolsas de estudo,Indiferente,1.4,26
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.85,36
Baependinha,Administração,Financiamento bancário,Satisfeito,2.82,33
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,2.51,36
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.07,28
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.87,32
Baependinha,Jurídica e Contábil,Bolsas de estudo,Satisfeito,1.49,31
Baependinha,Computação e Matemática,Incentivos federais,Indiferente,3.04,34
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.05,24
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.68,27
Aratibutantã,Humanidades,Incentivos federais,Muito satisfeito,1.78,26
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.43,40
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,2.4,29
Jaquereçaba,Jurídica e Contábil,Auxílio de familiares,Insatisfeito,4.16,31
Baependinha,Administração,Recursos próprios,Muito satisfeito,1.61,33
Jaquereçaba,Jurídica e Contábil,Financiamento bancário,Indiferente,2.1,33
Itamaracanã,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.16,25
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.02,18
Baependinha,Jurídica e Contábil,Incentivos federais,Satisfeito,1.93,32
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.05,24
 ,Humanidades,Incentivos federais,Insatisfeito,3.52,36
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Satisfeito,2.05,29
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.09,28
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.45,31
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,1.94,31
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.38,29
Aratibutantã,Engenharia e Produção,Recurs ,Insatisfeito,4.24,41
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.66,30
Aratibutantã,Computação e Matemática,Incentivos federais,Indiferente,2.14,30
Baependinha,Engenhar ,Financiamento bancário,Muito satisfeito,1.47,27
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.93,31
Baependinha,Humanidades,Recur ,Satisfeito,1.98,33
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,3.14,40
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.54,27
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,10.56,43
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.55,26
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.51,41
Jaquereçaba,Humanidades,Recursos próprios,Insatisfeito,2.29,32
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.67,33
Itamaracanã,Engenharia e Produção,Recursos próprios,Satisfeito,1.42,31
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,2.43,31
Itamaracanã,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.24,27
Baependinha,Administração,Auxílio de familiares,Satisfei ,1.59,31
Aratib ,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.31,66
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,1.56,31
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.2,31
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.45,27
Jaquereçaba,Jurídica e Contábil,Auxílio de familiares,Insatisfeito,3.7,37
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.1,30
Jaquereçaba,Engenharia e Produção,Incentivos federais,Muito insatisfeito,4.35,32
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,2.77,31
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,1.77,32
Aratibutantã,Administração,Incentivos federais,Satisfeito,1.59,34
Baependinha,Engenharia e Produção,Bolsas de estudo,Muito satisfeito,1.16,29
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.89,34
Aratibutantã,Administração,Incentivos federais,Insatisfeito,2.73,42
Baependinha,Engenharia e Produção,Auxílio de familiares,Muito satisfeito,1.78,32
Baependinha,Engenharia e Produção,Financiamento bancário,Muito sa ,1.28,24
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,2.23,33
Aratibutantã,Jurídica e Contábil,Financiamento bancário,Insatisfeito,2.59,34
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,2.09,38
Baependinha,Humanidades,Financiamento bancário,Indiferente,1.58,26
Baependinha,Humanidades,Recursos próprios,Muito satisfeito,1.35,31
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,1.74,34
 ,Engenharia e Produção,Recursos próprios,Satisfeito,1.93,34
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.37,33
Baependinha,Engenharia e Produção,Auxílio de familiares,Satisfeito,1.64,28
Baependinha,Engenharia e Produção,Bolsa ,Indiferente,2.05,34
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.23,29
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,6.78,45
Itamaracanã,Engenharia e Produção,Financ ,Muito satisfeito,1.12,26
Baependinha,Administração,Financiamento bancário,Satisfeito,1.68,31
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.4,31
Aratibutantã,Compu ,Auxílio de familiares,Indiferente,1.4,28
Aratibutantã,Computação e Matemática,Recursos próprios,Satisfeito,1.72,30
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.4,33
Baependinha, ,Financiamento bancário,Satisfeito,2,33
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.01,18
Aratibutantã,Engenharia e Produção,Incentivos federais,Satisfeito,1.95,30
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.55,30
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.14,27
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.17,32
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.26,31
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,2.29,33
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,2.91,34
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.25,27
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.41,39
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.4,23
Baependinha,Administração,Recursos próprios,Satisfeito,1.48,27
Jaquereçaba,Engenharia e Produção,Incentivos federais,Indiferente,2.46,36
Aratibutantã,Educacional,Financiamento bancário,Indiferente,2.02,33
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.09,28
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.06,37
Itamaracanã,Humanidades,Bolsas de estudo,Muito satisfeito,1.42,31
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.09,25
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.89,35
Itamaracanã,Computação e Matemática,Recursos próprios,Muito satisfeito,1.24,33
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.89,33
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.34,31
Aratibutantã,Jurídica e Contábil,Auxílio de familiares,Insatisfeito,4.01,36
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.15,29
Itamaracanã,Humanidades,Recursos próprios,Muito satisfeito,1.28,30
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.6,30
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.54,35
Baependinha,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.04,37
Baepen ,Engenharia e Produção,Bolsas de estudo,Indiferente,2.39,30
Baependinha,Engenharia e Produção,Incentivos federais,Satisfeito,2.15,32
Baependinha,Humanidades,Recursos próprios,Muito satisfeito,1.2,23
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indifer ,2.51,37
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.22,34
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.36,28
Baependinha,Administração,Financiamento bancário,Indifer ,1.35,32
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,2.17,36
Jaquereçaba,Engenharia e Produção,Incentivos federais,Indiferente,2.46,32
Aratibutantã,Engenh ,Incentivos federais,Indiferente,2.72,31
Baependinha,Computação e Matemática,Recursos próprios,Muito satisfeito,1.65,28
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,2.06,31
Baependinha,Administração,Recursos próprios,Satisfeito,1.68,32
Baependinha,Administração,Incentivos federais,Satisfei ,1.48,31
Baependinha,Engenharia e Produção,Bolsas de estudo,Muito satisfeito,1.73,35
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.03,23
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,2.14,38
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.43,31
Baependinha,Engenharia e Produção,Bolsas de estudo,Muito satisfeito,1.9,36
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,2.08,30
Baependinha,Administração,Financiamento bancário,Indiferente,2.57,38
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.31,25
Baependinha,Administração,Incentivos federais,Muito insatisfeito,2.6,37
Itamaracanã,Administração,Financiamento bancário,Satisfeito,1.59,27
Itamaracanã,Engenharia e Produção,Bolsas de estudo,Indiferente,2.43,35
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.46,41
Jaquereçaba,Engenharia e Produção,Bolsas de estudo,Insatisfeito,3.37,36
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,2.04,32
